ProductID,link,originalPrice
70253541,https://www.ikea.com/pl/pl/p/agam-krzeslo-dzieciece-czarny-70253541/,199
50410354,https://www.ikea.com/pl/pl/p/graval-krzeslo-dzieciece-50410354/,399
30091452,https://www.ikea.com/pl/pl/p/trofast-rama-bialy-30091452/,149
20308697,https://www.ikea.com/pl/pl/p/trofast-rama-jasna-sosna-bejcowana-na-bialo-20308697/,394
90489883,https://www.ikea.com/pl/pl/p/smagoera-biurko-bialy-90489883/,299
19387563,https://www.ikea.com/pl/pl/p/smastad-platsa-komoda-3-szuflady-bialy-szary-s19387563/,559
70469678,https://www.ikea.com/pl/pl/p/poaeng-poduszka-na-fotel-dzieciecy-medskog-wzor-w-dinozaury-70469678/,70
29479835,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-ciemnoszary-s29479835/,404
40365366,https://www.ikea.com/pl/pl/p/mammut-krzeselko-dzieciece-do-wewnatrz-na-zewnatrz-czerwony-40365366/,69
09392254,https://www.ikea.com/pl/pl/p/smastad-biurko-bialy-bladorozowy-z-2-szufladami-s09392254/,820
80342052,https://www.ikea.com/pl/pl/p/cirkustaelt-namiot-dzieciecy-80342052/,79.99
49478199,https://www.ikea.com/pl/pl/p/trofast-szafka-scienna-jasna-sosna-bejcowana-na-bialo-ciemnoszary-s49478199/,309
49123405,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-bialy-s49123405/,254
59329420,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-bialy-szary-s59329420/,319
69480870,https://www.ikea.com/pl/pl/p/trofast-kmb-do-przechowywania-pudelka-taca-bialy-szary-ciemnoszary-s69480870/,549
80089239,https://www.ikea.com/pl/pl/p/trofast-pojemnik-bialy-80089239/,15
79480450,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-bialy-s79480450/,194
39480466,https://www.ikea.com/pl/pl/p/trofast-kmb-do-przechowywania-pudelka-tace-bialy-szary-ciemnoszary-s39480466/,249
79102958,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-jasna-sosna-bejcowana-na-bialo-bialy-s79102958/,529
59337788,https://www.ikea.com/pl/pl/p/valfred-sibben-dzieciece-krzeslo-biurowe-brzoza-bialy-s59337788/,149
49128945,https://www.ikea.com/pl/pl/p/pahl-biurko-bialy-s49128945/,299
69480460,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-jasny-zielonoszary-s69480460/,239
80418056,https://www.ikea.com/pl/pl/p/poaeng-rama-fotela-dzieciecego-okl-brzoz-80418056/,179
70518565,https://www.ikea.com/pl/pl/p/trofast-siatkowe-pudelko-ciemnoszary-70518565/,40
20089242,https://www.ikea.com/pl/pl/p/trofast-pojemnik-bialy-20089242/,20
60518453,https://www.ikea.com/pl/pl/p/trofast-siatkowe-pudelko-ciemnoszary-60518453/,30
39478717,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-ciemnoszary-s39478717/,269
10308693,https://www.ikea.com/pl/pl/p/trofast-rama-jasna-sosna-bejcowana-na-bialo-10308693/,229
29478379,https://www.ikea.com/pl/pl/p/trofast-kmb-do-przechowywania-pudelka-taca-bialy-szary-bialy-s29478379/,224
29103007,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-jasna-sosna-bejcowana-na-bialo-bialy-s29103007/,289
49480828,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-jasna-sosna-bejcowana-na-bialo-ciemnoszary-s49480828/,664
60353838,https://www.ikea.com/pl/pl/p/ingolf-krzeslo-dzieciece-bejca-patynowa-60353838/,249
10518568,https://www.ikea.com/pl/pl/p/trofast-siatkowe-pudelko-ciemnoszary-10518568/,20
60308695,https://www.ikea.com/pl/pl/p/trofast-rama-jasna-sosna-bejcowana-na-bialo-60308695/,429
39337732,https://www.ikea.com/pl/pl/p/valfred-sibben-dzieciece-krzeslo-biurowe-bialy-s39337732/,149
90253535,https://www.ikea.com/pl/pl/p/agam-krzeslo-dzieciece-bialy-90253535/,199
79478193,https://www.ikea.com/pl/pl/p/trofast-szafka-scienna-bialy-ciemnoszary-s79478193/,259
49477492,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-jasna-sosna-bejcowana-na-bialo-ciemnoszary-s49477492/,349
89480322,https://www.ikea.com/pl/pl/p/trofast-regal-z-pojemnikami-bialy-jasny-zielonoszary-s89480322/,464
99480449,https://www.ikea.com/pl/pl/p/trofast-kmb-do-przechowywania-pudelko-tace-bialy-szary-bialy-s99480449/,224
09478403,https://www.ikea.com/pl/pl/p/trofast-kmb-do-przechowywania-pudelka-taca-jasna-sosna-bejcowana-na-bialo-szary-bialy-s09478403/,304
40489668,https://www.ikea.com/pl/pl/p/poaeng-poduszka-na-fotel-dzieciecy-knisa-jasnobezowy-40489668/,50
69426208,https://www.ikea.com/pl/pl/p/smastad-platsa-szafa-bialy-bialy-z-3-szufladami-s69426208/,755
39426380,https://www.ikea.com/pl/pl/p/smastad-platsa-szafa-bialy-biala-rama-z-3-szufladami-s39426380/,770
40273593,https://www.ikea.com/pl/pl/p/flisat-stolek-dzieciecy-40273593/,99.99
09484084,https://www.ikea.com/pl/pl/p/trofast-szafka-scienna-bialy-bialy-s09484084/,79
09420153,https://www.ikea.com/pl/pl/p/smastad-platsa-komoda-3-szuflady-bialy-bladoturkusowy-s09420153/,499
50357785,https://www.ikea.com/pl/pl/p/utter-stolek-dzieciecy-do-wewnatrz-na-zewnatrz-bialy-50357785/,29.99
80371520,https://www.ikea.com/pl/pl/p/trogen-taboret-dzieciecy-zolty-80371520/,99.99
00091415,https://www.ikea.com/pl/pl/p/trofast-pokrywka-bialy-00091415/,5
10243574,https://www.ikea.com/pl/pl/p/busa-namiot-dzieciecy-10243574/,49.99
49102304,https://www.ikea.com/pl/pl/p/trofast-szafka-scienna-jasna-sosna-bejcowana-na-bialo-bialy-s49102304/,249
79898306,https://www.ikea.com/pl/pl/p/trofast-szafka-scienna-bialy-bialy-s79898306/,199
80362974,https://www.ikea.com/pl/pl/p/slaekt-pojemnik-na-kolkach-bialy-80362974/,250
09252593,https://www.ikea.com/pl/pl/p/langur-krzeslo-dzieciece-wysokie-bialy-s09252593/,449
19252615,https://www.ikea.com/pl/pl/p/langur-krzeslo-dzieciece-bialy-s19252615/,299
49252553,https://www.ikea.com/pl/pl/p/langur-krzeslo-dzieciece-wysokie-z-taca-bialy-s49252553/,499
50346985,https://www.ikea.com/pl/pl/p/langur-pokrycie-siedziska-na-krzeslo-szary-50346985/,30
70091412,https://www.ikea.com/pl/pl/p/trofast-pojemnik-bialy-70091412/,10
39390885,https://www.ikea.com/pl/pl/p/smastad-szafa-bialy-szary-z-2-drazkami-na-ubrania-s39390885/,575
